State,District,Taluka/Tehsil,Latitude,Longitude
Andaman and Nicobar,Nicobar Islands,n.a. ( 2304),7.527112794358752,93.59860880552694
Andaman and Nicobar,North and Middle Andaman,n.a. ( 2178),12.853978472566995,92.87298256837038
Andaman and Nicobar,South Andaman,n.a. ( 2178),11.529705706847437,92.66539477178816
Andhra Pradesh,Anantapur,Anantapur,14.707771976453506,77.57761580336508
Andhra Pradesh,Anantapur,Dharmavaram,14.396885882076116,77.6305502160288
Andhra Pradesh,Anantapur,Gooty,15.028517474307092,77.438162485353
Andhra Pradesh,Anantapur,Hindupur,13.880261822498392,77.64281135274962
Andhra Pradesh,Anantapur,Kadiri,14.110371687361937,78.1462027961415
Andhra Pradesh,Anantapur,Kalyandurg,14.484191017401114,77.11828498159967
Andhra Pradesh,Anantapur,Madakasira,13.935298398538354,77.12989304367134
Andhra Pradesh,Anantapur,Penukonda,14.124885508210445,77.68069412839164
Andhra Pradesh,Anantapur,Rayadurg,14.808752324589879,76.9727723542592
Andhra Pradesh,Anantapur,Tadpatri,14.853127568493381,77.9498656198676
Andhra Pradesh,Chittoor,Chandragiri,13.586683862434349,79.25918180005942
Andhra Pradesh,Chittoor,Chittoor,13.226580166964906,79.04186013004973
Andhra Pradesh,Chittoor,Kuppam,12.756448020258059,78.37943505869721
Andhra Pradesh,Chittoor,Madanapalle,13.698926813984821,78.40992588456011
Andhra Pradesh,Chittoor,Palmaner,13.032426281895974,78.60730785715793
Andhra Pradesh,Chittoor,Punganuru,13.394492570596787,78.69334507343409
Andhra Pradesh,Chittoor,Puttur,13.384659006095163,79.43436263139006
Andhra Pradesh,Chittoor,Satyavedu,13.438393491753349,79.83699907901546
Andhra Pradesh,Chittoor,Sri Kalahasti,13.702011745140332,79.68236845180387
Andhra Pradesh,Chittoor,Vayalipad,13.73353457443127,78.8729992445957
Andhra Pradesh,East Godavari,Addatigala,17.585787790365583,82.00619690964136
Andhra Pradesh,East Godavari,Amalapuram,16.555784445746003,82.01555638608082
Andhra Pradesh,East Godavari,Kakinada,16.889323467494485,82.19459304027572
Andhra Pradesh,East Godavari,Kottapeta,16.742952457069023,81.82863290582017
Andhra Pradesh,East Godavari,Mummidivaram,16.621651144108323,82.18844774554998
Andhra Pradesh,East Godavari,Peddapuram,17.12790943480718,82.04544483671143
Andhra Pradesh,East Godavari,Pithapuram,17.141607422031,82.28708770909918
Andhra Pradesh,East Godavari,Prathipadu,17.339686892626805,82.26777058231956
Andhra Pradesh,East Godavari,Rajahmundry,17.101176781527634,81.82350157508067
Andhra Pradesh,East Godavari,Ramachandrapuram,16.81874860804371,81.97459825438867
Andhra Pradesh,East Godavari,Rampa Chodavaram,17.518742963594125,81.70682225581078
Andhra Pradesh,East Godavari,Razole,16.440425771497527,81.84205411195055
Andhra Pradesh,East Godavari,Tuni,17.339042072969164,82.47051960953588
Andhra Pradesh,Guntur,Bapatla,15.997007276928972,80.46939748587153
Andhra Pradesh,Guntur,Guntur,16.35421764671529,80.4401321534597
Andhra Pradesh,Guntur,Guruzala,16.475241570906803,79.56568231020665
Andhra Pradesh,Guntur,Narasaraopet,16.205745566867144,80.05797021573701
Andhra Pradesh,Guntur,Repalle,15.969697083357431,80.76405834640387
Andhra Pradesh,Guntur,Sattenapalle,16.493063448788966,80.11751523904229
Andhra Pradesh,Guntur,Tenali,16.214986270119923,80.66780308632522
Andhra Pradesh,Guntur,Vinukonda,16.119019570628176,79.71429125697608
Andhra Pradesh,Krishna,Avanigadda,15.996392639223693,80.95395661356599
Andhra Pradesh,Krishna,Gannavaram,16.520482536152745,80.8166744465626
Andhra Pradesh,Krishna,Gudivada,16.382063393502357,80.97679077940383
