State,District,Taluka/Tehsil,Latitude,Longitude
None,None,Amahator,25.95818239339473,94.75387302498768
None,None,Amalapuram,16.573708335750005,82.00721369949764
None,None,Amalner,21.076197882240578,75.04919001272647
None,None,Amangal,16.88766386725062,78.55649925053159
None,None,Amanganj,24.429591884422372,80.00052317234035
None,None,Amarapuram,14.084002336472022,76.9930226414492
None,None,Amaravathi,16.56355900277896,80.32337684708045
None,None,Amarchintha,16.374209627218168,77.75265945559187
None,None,Amariya,28.765617561790275,79.74634254837758
None,None,Amarpatan,24.365950206902323,81.11486658596154
None,None,Amarpur,25.034420111954038,86.88602511036532
None,None,Amarpur,23.588077972232114,91.66881419059752
None,None,Amarwara,22.307122542102054,79.15750153201145
None,None,Amas,24.603990993476305,84.6985217455435
None,None,Amb,31.67825981343579,76.15059881355248
None,None,Ambabhona,21.610881588168812,83.54897404716704
None,None,Ambad,19.560531332782535,75.75634280320176
None,None,Ambadala,19.808014824006662,83.5193061224788
None,None,Ambagarh,20.762442340973,80.69082259981624
None,None,Ambah,26.657124274284175,78.2234362311369
None,None,Ambajipeta,16.604711161864923,81.95009966540265
None,None,Ambala,30.244762092076844,76.69772006868219
None,None,Ambala Cantonment,30.34209012391678,76.83438136532908
None,None,Ambalappuzha,9.479898775120846,76.35513145047445
None,None,Ambarnath,19.15506381030729,73.24440163250156
None,None,Ambasamudram,8.707658629761264,77.35076694239986
None,None,Ambassa,23.82356989726136,91.86381387284007
None,None,Ambattur,13.089025394906223,80.1655316274613
None,None,Ambegaon,19.0408594009803,73.86149585033347
None,None,Ambejogai,18.704967234090617,76.43223936223437
None,None,Amber,27.115805635454347,75.78840774288707
None,None,Amberpet,17.377630688860254,78.51124579799881
None,None,Ambikapur,23.06409650064271,83.20512710847473
None,None,Ambur,12.782713582807128,78.73123887577543
None,None,Amdabad,25.310257689817362,87.7684484839768
None,None,Amdanga,22.839293551591567,88.4907154050627
None,None,Ameenpur,17.536789894444293,78.30685354178088
None,None,Ameerpet,17.425356736103847,78.45610697361681
None,None,Amet,25.27562363110776,73.96084603104454
None,None,Amethi,26.14383194988416,81.87927328852889
None,None,Amgaon,21.377147107773524,80.35697248810557
None,None,Amguri,26.842338915723225,94.59454524319024
None,None,Amini,11.112077457808853,72.73140871314786
None,None,Amirgadh,24.347908687608626,72.59427468726665
None,None,Amla,21.956260484492073,78.2676450185886
None,None,Amlarem,25.253187492851488,92.12103709596815
None,None,Amloh,30.61159161564243,76.21917653973316
None,None,Amnour,25.924332050047,84.91290673006205
None,None,Amod,21.955193518825098,72.90222389152719
None,None,Amour,25.975018635839415,87.68117913574862
None,None,Amrabad,16.250430921622257,78.77936803147998
None,None,Amrapara,24.57357284290739,87.55856684192095
None,None,Amravati,20.99366770390021,77.81013540252839
None,None,Amreli,21.59182876547333,71.17262668775047
None,None,Amritpur,27.455245340650134,79.64433477292279
None,None,Amritsar -I,31.755076371625663,75.01269618284955
None,None,Amritsar- Ii,31.620421750010806,74.81685576845958
None,None,Amroha,28.833635925093848,78.48001719261849
None,None,Amruthalur,16.127469460022947,80.62283087746732
None,None,Amta - I,22.59837368877129,88.02562427250987
None,None,Amta - Ii,22.57396464653721,87.92492738866152
None,None,Anaicut,12.784842398947099,78.93072372179434
None,None,Anaimalai,10.572630660864023,76.9556580478019
None,None,Anakapalle,17.71605050772668,82.97692605832937
None,None,Anand City,22.545953733202463,72.9248471716615
None,None,Anand Rural,22.545911393718963,73.03554738108828
None,None,Anandapur,21.34825620105485,86.1137907658606
None,None,Anandapuram,17.860305631963485,83.27382638744247
None,None,Anandpur,22.497670954467633,85.14770509992546
None,None,Anandpur Sahib,31.172300459084518,76.49076824251767
None,None,Anandpuri,23.378723470230078,74.10187389452423
None,None,Anantapur,14.656592412613142,77.5898155497872
None,None,Ananthagiri,18.18611745167584,83.03985755628811
None,None,Ananthagiri,17.090573457797685,79.94364048486354
None,None,Ananthasagaram,14.562017848722126,79.3730347025444
None,None,Anantnag,33.86117783200813,75.09005467298826
None,None,Anantnag East,33.8841934826561,75.16515643348852
None,None,Anaparthy,16.900915710655504,81.96027717745741
None,None,Anchetty,12.28444053485725,77.66918392947251
None,None,Andar,26.082876899443228,84.23672330208298
None,None,Andhratharhi,26.366341049413503,86.30119905579471
None,None,Andimadam,11.323607768895073,79.34265785685004
None,None,Andipatti,9.813008366266505,77.53050437317503
None,None,Andirakanch,19.287906307471772,83.00120435605368
None,None,Andole,17.83669773529893,78.0338889994286
None,None,Andrott,10.824026350577027,73.67282952463042
